Iterações entre number1 / number2: 32400
+2 / +7 3/7 = +7/26
+2 / +7 3/8 = +16/59
+2 / +7 3/9 = +3/11
+2 / +7 4/1 = +2/11
+2 / +7 4/2 = +2/9
+2 / +7 4/3 = +6/25
+2 / +7 4/4 = +1/4
+2 / +7 4/5 = +10/39
+2 / +7 4/6 = +6/23
+2 / +7 4/7 = +14/53
+2 / +7 4/8 = +4/15
+2 / +7 4/9 = +18/67
+2 / +7 5/1 = +1/6
+2 / +7 5/2 = +4/19
+2 / +7 5/3 = +3/13
+2 / +7 5/4 = +8/33
+2 / +7 5/5 = +1/4
+2 / +7 5/6 = +12/47
+2 / +7 5/7 = +7/27
+2 / +7 5/8 = +16/61
+2 / +7 5/9 = +9/34
+2 / +7 6/1 = +2/13
+2 / +7 6/2 = +1/5
+2 / +7 6/3 = +2/9
+2 / +7 6/4 = +4/17
+2 / +7 6/5 = +10/41
+2 / +7 6/6 = +1/4
+2 / +7 6/7 = +14/55
+2 / +7 6/8 = +8/31
+2 / +7 6/9 = +6/23
+2 / +7 7/1 = +1/7
+2 / +7 7/2 = +4/21
+2 / +7 7/3 = +3/14
+2 / +7 7/4 = +8/35
+2 / +7 7/5 = +5/21
+2 / +7 7/6 = +12/49
+2 / +7 7/7 = +1/4
+2 / +7 7/8 = +16/63
+2 / +7 7/9 = +9/35
+2 / +7 8/1 = +2/15
+2 / +7 8/2 = +2/11
+2 / +7 8/3 = +6/29
+2 / +7 8/4 = +2/9
+2 / +7 8/5 = +10/43
+2 / +7 8/6 = +6/25
+2 / +7 8/7 = +14/57
+2 / +7 8/8 = +1/4
+2 / +7 8/9 = +18/71
+2 / +7 9/1 = +1/8
+2 / +7 9/2 = +4/23
+2 / +7 9/3 = +1/5
+2 / +7 9/4 = +8/37
+2 / +7 9/5 = +5/22
+2 / +7 9/6 = +4/17
+2 / +7 9/7 = +7/29
+2 / +7 9/8 = +16/65
+2 / +7 9/9 = +1/4
+2 / +8 0/1 = +1/4
+2 / +8 0/2 = +1/4
+2 / +8 0/3 = +1/4
+2 / +8 0/4 = +1/4
+2 / +8 0/5 = +1/4
+2 / +8 0/6 = +1/4
+2 / +8 0/7 = +1/4
+2 / +8 0/8 = +1/4
+2 / +8 0/9 = +1/4
+2 / +8 1/1 = +2/9
+2 / +8 1/2 = +4/17
+2 / +8 1/3 = +6/25
+2 / +8 1/4 = +8/33
+2 / +8 1/5 = +10/41
+2 / +8 1/6 = +12/49
+2 / +8 1/7 = +14/57
+2 / +8 1/8 = +16/65
+2 / +8 1/9 = +18/73
+2 / +8 2/1 = +1/5
+2 / +8 2/2 = +2/9
+2 / +8 2/3 = +3/13
+2 / +8 2/4 = +4/17
+2 / +8 2/5 = +5/21
+2 / +8 2/6 = +6/25
+2 / +8 2/7 = +7/29
+2 / +8 2/8 = +8/33
+2 / +8 2/9 = +9/37
+2 / +8 3/1 = +2/11
+2 / +8 3/2 = +4/19
+2 / +8 3/3 = +2/9
+2 / +8 3/4 = +8/35
+2 / +8 3/5 = +10/43
+2 / +8 3/6 = +4/17
+2 / +8 3/7 = +14/59
+2 / +8 3/8 = +16/67
+2 / +8 3/9 = +6/25
+2 / +8 4/1 = +1/6
+2 / +8 4/2 = +1/5
+2 / +8 4/3 = +3/14
+2 / +8 4/4 = +2/9
+2 / +8 4/5 = +5/22
+2 / +8 4/6 = +3/13
+2 / +8 4/7 = +7/30
+2 / +8 4/8 = +4/17
+2 / +8 4/9 = +9/38
+2 / +8 5/1 = +2/13
+2 / +8 5/2 = +4/21
+2 / +8 5/3 = +6/29
+2 / +8 5/4 = +8/37
+2 / +8 5/5 = +2/9
+2 / +8 5/6 = +12/53
+2 / +8 5/7 = +14/61
+2 / +8 5/8 = +16/69
+2 / +8 5/9 = +18/77
+2 / +8 6/1 = +1/7
+2 / +8 6/2 = +2/11
+2 / +8 6/3 = +1/5
+2 / +8 6/4 = +4/19
+2 / +8 6/5 = +5/23
+2 / +8 6/6 = +2/9
+2 / +8 6/7 = +7/31
+2 / +8 6/8 = +8/35
+2 / +8 6/9 = +3/13
+2 / +8 7/1 = +2/15
+2 / +8 7/2 = +4/23
+2 / +8 7/3 = +6/31
+2 / +8 7/4 = +8/39
+2 / +8 7/5 = +10/47
+2 / +8 7/6 = +12/55
+2 / +8 7/7 = +2/9
+2 / +8 7/8 = +16/71
+2 / +8 7/9 = +18/79
+2 / +8 8/1 = +1/8
+2 / +8 8/2 = +1/6
+2 / +8 8/3 = +3/16
+2 / +8 8/4 = +1/5
+2 / +8 8/5 = +5/24
+2 / +8 8/6 = +3/14
+2 / +8 8/7 = +7/32
+2 / +8 8/8 = +2/9
+2 / +8 8/9 = +9/40
+2 / +8 9/1 = +2/17
+2 / +8 9/2 = +4/25
+2 / +8 9/3 = +2/11
+2 / +8 9/4 = +8/41
+2 / +8 9/5 = +10/49
+2 / +8 9/6 = +4/19
+2 / +8 9/7 = +14/65
+2 / +8 9/8 = +16/73
+2 / +8 9/9 = +2/9
+2 / +9 0/1 = +2/9
+2 / +9 0/2 = +2/9
+2 / +9 0/3 = +2/9
+2 / +9 0/4 = +2/9
+2 / +9 0/5 = +2/9
+2 / +9 0/6 = +2/9
+2 / +9 0/7 = +2/9
+2 / +9 0/8 = +2/9
+2 / +9 0/9 = +2/9
+2 / +9 1/1 = +1/5
+2 / +9 1/2 = +4/19
+2 / +9 1/3 = +3/14
+2 / +9 1/4 = +8/37
+2 / +9 1/5 = +5/23
+2 / +9 1/6 = +12/55
+2 / +9 1/7 = +7/32
+2 / +9 1/8 = +16/73
+2 / +9 1/9 = +9/41
+2 / +9 2/1 = +2/11
+2 / +9 2/2 = +1/5
+2 / +9 2/3 = +6/29
+2 / +9 2/4 = +4/19
+2 / +9 2/5 = +10/47
+2 / +9 2/6 = +3/14
+2 / +9 2/7 = +14/65
+2 / +9 2/8 = +8/37
+2 / +9 2/9 = +18/83
+2 / +9 3/1 = +1/6
+2 / +9 3/2 = +4/21
+2 / +9 3/3 = +1/5
+2 / +9 3/4 = +8/39
+2 / +9 3/5 = +5/24
+2 / +9 3/6 = +4/19
+2 / +9 3/7 = +7/33
+2 / +9 3/8 = +16/75
+2 / +9 3/9 = +3/14
+2 / +9 4/1 = +2/13
+2 / +9 4/2 = +2/11
+2 / +9 4/3 = +6/31
+2 / +9 4/4 = +1/5
+2 / +9 4/5 = +10/49
+2 / +9 4/6 = +6/29
+2 / +9 4/7 = +14/67
+2 / +9 4/8 = +4/19
+2 / +9 4/9 = +18/85
+2 / +9 5/1 = +1/7
+2 / +9 5/2 = +4/23
+2 / +9 5/3 = +3/16
+2 / +9 5/4 = +8/41
+2 / +9 5/5 = +1/5
+2 / +9 5/6 = +12/59
+2 / +9 5/7 = +7/34
+2 / +9 5/8 = +16/77
+2 / +9 5/9 = +9/43
+2 / +9 6/1 = +2/15
+2 / +9 6/2 = +1/6
+2 / +9 6/3 = +2/11
+2 / +9 6/4 = +4/21
+2 / +9 6/5 = +10/51
+2 / +9 6/6 = +1/5
+2 / +9 6/7 = +14/69
+2 / +9 6/8 = +8/39
+2 / +9 6/9 = +6/29
+2 / +9 7/1 = +1/8
+2 / +9 7/2 = +4/25
+2 / +9 7/3 = +3/17
+2 / +9 7/4 = +8/43
+2 / +9 7/5 = +5/26
+2 / +9 7/6 = +12/61
+2 / +9 7/7 = +1/5
+2 / +9 7/8 = +16/79
+2 / +9 7/9 = +9/44
+2 / +9 8/1 = +2/17
+2 / +9 8/2 = +2/13
+2 / +9 8/3 = +6/35
+2 / +9 8/4 = +2/11
+2 / +9 8/5 = +10/53
+2 / +9 8/6 = +6/31
+2 / +9 8/7 = +14/71
+2 / +9 8/8 = +1/5
+2 / +9 8/9 = +18/89
+2 / +9 9/1 = +1/9
+2 / +9 9/2 = +4/27
+2 / +9 9/3 = +1/6
+2 / +9 9/4 = +8/45
+2 / +9 9/5 = +5/27
+2 / +9 9/6 = +4/21
+2 / +9 9/7 = +7/36
+2 / +9 9/8 = +16/81
+2 / +9 9/9 = +1/5
+2 / -1 0/1 = -2
+2 / -1 0/2 = -2
+2 / -1 0/3 = -2
+2 / -1 0/4 = -2
+2 / -1 0/5 = -2
+2 / -1 0/6 = -2
+2 / -1 0/7 = -2
+2 / -1 0/8 = -2
+2 / -1 0/9 = -2
+2 / -1 1/1 = -1
+2 / -1 1/2 = -1 1/3
+2 / -1 1/3 = -1 1/2
+2 / -1 1/4 = -1 3/5
+2 / -1 1/5 = -1 2/3
+2 / -1 1/6 = -1 5/7
+2 / -1 1/7 = -1 3/4
+2 / -1 1/8 = -1 7/9
+2 / -1 1/9 = -1 4/5
+2 / -1 2/1 = -2/3
+2 / -1 2/2 = -1
+2 / -1 2/3 = -1 1/5
+2 / -1 2/4 = -1 1/3
+2 / -1 2/5 = -1 3/7
+2 / -1 2/6 = -1 1/2
+2 / -1 2/7 = -1 5/9
+2 / -1 2/8 = -1 3/5
+2 / -1 2/9 = -1 7/11
+2 / -1 3/1 = -1/2
+2 / -1 3/2 = -4/5
+2 / -1 3/3 = -1
+2 / -1 3/4 = -1 1/7
+2 / -1 3/5 = -1 1/4
+2 / -1 3/6 = -1 1/3
+2 / -1 3/7 = -1 2/5
+2 / -1 3/8 = -1 5/11
+2 / -1 3/9 = -1 1/2
+2 / -1 4/1 = -2/5
+2 / -1 4/2 = -2/3
+2 / -1 4/3 = -6/7
+2 / -1 4/4 = -1
+2 / -1 4/5 = -1 1/9
+2 / -1 4/6 = -1 1/5
+2 / -1 4/7 = -1 3/11
+2 / -1 4/8 = -1 1/3
+2 / -1 4/9 = -1 5/13
+2 / -1 5/1 = -1/3
+2 / -1 5/2 = -4/7
+2 / -1 5/3 = -3/4
+2 / -1 5/4 = -8/9
+2 / -1 5/5 = -1
+2 / -1 5/6 = -1 1/11
+2 / -1 5/7 = -1 1/6
+2 / -1 5/8 = -1 3/13
+2 / -1 5/9 = -1 2/7
+2 / -1 6/1 = -2/7
+2 / -1 6/2 = -1/2
+2 / -1 6/3 = -2/3
+2 / -1 6/4 = -4/5
+2 / -1 6/5 = -10/11
+2 / -1 6/6 = -1
+2 / -1 6/7 = -1 1/13
+2 / -1 6/8 = -1 1/7
+2 / -1 6/9 = -1 1/5
+2 / -1 7/1 = -1/4
+2 / -1 7/2 = -4/9
+2 / -1 7/3 = -3/5
+2 / -1 7/4 = -8/11
+2 / -1 7/5 = -5/6
+2 / -1 7/6 = -12/13
+2 / -1 7/7 = -1
+2 / -1 7/8 = -1 1/15
+2 / -1 7/9 = -1 1/8
+2 / -1 8/1 = -2/9
+2 / -1 8/2 = -2/5
+2 / -1 8/3 = -6/11
+2 / -1 8/4 = -2/3
+2 / -1 8/5 = -10/13
+2 / -1 8/6 = -6/7
+2 / -1 8/7 = -14/15
+2 / -1 8/8 = -1
+2 / -1 8/9 = -1 1/17
+2 / -1 9/1 = -1/5
+2 / -1 9/2 = -4/11
+2 / -1 9/3 = -1/2
+2 / -1 9/4 = -8/13
+2 / -1 9/5 = -5/7
+2 / -1 9/6 = -4/5
+2 / -1 9/7 = -7/8
+2 / -1 9/8 = -16/17
+2 / -1 9/9 = -1
+2 / -2 0/1 = -1
+2 / -2 0/2 = -1
+2 / -2 0/3 = -1
+2 / -2 0/4 = -1
+2 / -2 0/5 = -1
+2 / -2 0/6 = -1
+2 / -2 0/7 = -1
+2 / -2 0/8 = -1
+2 / -2 0/9 = -1
+2 / -2 1/1 = -2/3
+2 / -2 1/2 = -4/5
+2 / -2 1/3 = -6/7
+2 / -2 1/4 = -8/9
+2 / -2 1/5 = -10/11
+2 / -2 1/6 = -12/13
+2 / -2 1/7 = -14/15
+2 / -2 1/8 = -16/17
+2 / -2 1/9 = -18/19
+2 / -2 2/1 = -1/2
+2 / -2 2/2 = -2/3
+2 / -2 2/3 = -3/4
+2 / -2 2/4 = -4/5
+2 / -2 2/5 = -5/6
+2 / -2 2/6 = -6/7
+2 / -2 2/7 = -7/8
+2 / -2 2/8 = -8/9
+2 / -2 2/9 = -9/10
+2 / -2 3/1 = -2/5
+2 / -2 3/2 = -4/7
+2 / -2 3/3 = -2/3
+2 / -2 3/4 = -8/11
+2 / -2 3/5 = -10/13
+2 / -2 3/6 = -4/5
+2 / -2 3/7 = -14/17
+2 / -2 3/8 = -16/19
+2 / -2 3/9 = -6/7
+2 / -2 4/1 = -1/3
+2 / -2 4/2 = -1/2
+2 / -2 4/3 = -3/5
+2 / -2 4/4 = -2/3
+2 / -2 4/5 = -5/7
+2 / -2 4/6 = -3/4
+2 / -2 4/7 = -7/9
+2 / -2 4/8 = -4/5
+2 / -2 4/9 = -9/11
+2 / -2 5/1 = -2/7
+2 / -2 5/2 = -4/9
+2 / -2 5/3 = -6/11
+2 / -2 5/4 = -8/13
+2 / -2 5/5 = -2/3
+2 / -2 5/6 = -12/17
+2 / -2 5/7 = -14/19
+2 / -2 5/8 = -16/21
+2 / -2 5/9 = -18/23
+2 / -2 6/1 = -1/4
+2 / -2 6/2 = -2/5
+2 / -2 6/3 = -1/2
+2 / -2 6/4 = -4/7
+2 / -2 6/5 = -5/8
+2 / -2 6/6 = -2/3
+2 / -2 6/7 = -7/10
+2 / -2 6/8 = -8/11
+2 / -2 6/9 = -3/4
+2 / -2 7/1 = -2/9
+2 / -2 7/2 = -4/11
+2 / -2 7/3 = -6/13
+2 / -2 7/4 = -8/15
+2 / -2 7/5 = -10/17
+2 / -2 7/6 = -12/19
+2 / -2 7/7 = -2/3
+2 / -2 7/8 = -16/23
+2 / -2 7/9 = -18/25
+2 / -2 8/1 = -1/5
+2 / -2 8/2 = -1/3
+2 / -2 8/3 = -3/7
+2 / -2 8/4 = -1/2
+2 / -2 8/5 = -5/9
+2 / -2 8/6 = -3/5
+2 / -2 8/7 = -7/11
+2 / -2 8/8 = -2/3
+2 / -2 8/9 = -9/13
+2 / -2 9/1 = -2/11
+2 / -2 9/2 = -4/13
+2 / -2 9/3 = -2/5
+2 / -2 9/4 = -8/17
+2 / -2 9/5 = -10/19
+2 / -2 9/6 = -4/7
+2 / -2 9/7 = -14/23
+2 / -2 9/8 = -16/25
+2 / -2 9/9 = -2/3
+2 / -3 0/1 = -2/3
+2 / -3 0/2 = -2/3
+2 / -3 0/3 = -2/3
+2 / -3 0/4 = -2/3
+2 / -3 0/5 = -2/3
+2 / -3 0/6 = -2/3
+2 / -3 0/7 = -2/3
+2 / -3 0/8 = -2/3
+2 / -3 0/9 = -2/3
+2 / -3 1/1 = -1/2
+2 / -3 1/2 = -4/7
+2 / -3 1/3 = -3/5
+2 / -3 1/4 = -8/13
+2 / -3 1/5 = -5/8
+2 / -3 1/6 = -12/19
+2 / -3 1/7 = -7/11
+2 / -3 1/8 = -16/25
+2 / -3 1/9 = -9/14
+2 / -3 2/1 = -2/5
+2 / -3 2/2 = -1/2
+2 / -3 2/3 = -6/11
+2 / -3 2/4 = -4/7
+2 / -3 2/5 = -10/17
+2 / -3 2/6 = -3/5
+2 / -3 2/7 = -14/23
+2 / -3 2/8 = -8/13
+2 / -3 2/9 = -18/29
+2 / -3 3/1 = -1/3
+2 / -3 3/2 = -4/9
+2 / -3 3/3 = -1/2
+2 / -3 3/4 = -8/15
+2 / -3 3/5 = -5/9
+2 / -3 3/6 = -4/7
+2 / -3 3/7 = -7/12
+2 / -3 3/8 = -16/27
+2 / -3 3/9 = -3/5
+2 / -3 4/1 = -2/7
+2 / -3 4/2 = -2/5
+2 / -3 4/3 = -6/13
+2 / -3 4/4 = -1/2
+2 / -3 4/5 = -10/19
+2 / -3 4/6 = -6/11
+2 / -3 4/7 = -14/25
+2 / -3 4/8 = -4/7
+2 / -3 4/9 = -18/31
+2 / -3 5/1 = -1/4
+2 / -3 5/2 = -4/11
+2 / -3 5/3 = -3/7
+2 / -3 5/4 = -8/17
+2 / -3 5/5 = -1/2
+2 / -3 5/6 = -12/23
+2 / -3 5/7 = -7/13
+2 / -3 5/8 = -16/29
+2 / -3 5/9 = -9/16
+2 / -3 6/1 = -2/9
+2 / -3 6/2 = -1/3
+2 / -3 6/3 = -2/5
+2 / -3 6/4 = -4/9
+2 / -3 6/5 = -10/21
+2 / -3 6/6 = -1/2
+2 / -3 6/7 = -14/27
+2 / -3 6/8 = -8/15
+2 / -3 6/9 = -6/11
+2 / -3 7/1 = -1/5
+2 / -3 7/2 = -4/13
+2 / -3 7/3 = -3/8
+2 / -3 7/4 = -8/19
+2 / -3 7/5 = -5/11
+2 / -3 7/6 = -12/25
+2 / -3 7/7 = -1/2
+2 / -3 7/8 = -16/31
+2 / -3 7/9 = -9/17
+2 / -3 8/1 = -2/11
+2 / -3 8/2 = -2/7
+2 / -3 8/3 = -6/17
+2 / -3 8/4 = -2/5
+2 / -3 8/5 = -10/23
+2 / -3 8/6 = -6/13
+2 / -3 8/7 = -14/29
+2 / -3 8/8 = -1/2
+2 / -3 8/9 = -18/35
+2 / -3 9/1 = -1/6
+2 / -3 9/2 = -4/15
+2 / -3 9/3 = -1/3
+2 / -3 9/4 = -8/21
+2 / -3 9/5 = -5/12
+2 / -3 9/6 = -4/9
+2 / -3 9/7 = -7/15
+2 / -3 9/8 = -16/33
+2 / -3 9/9 = -1/2
+2 / -4 0/1 = -1/2
+2 / -4 0/2 = -1/2
+2 / -4 0/3 = -1/2
+2 / -4 0/4 = -1/2
+2 / -4 0/5 = -1/2
+2 / -4 0/6 = -1/2
+2 / -4 0/7 = -1/2
+2 / -4 0/8 = -1/2
+2 / -4 0/9 = -1/2
+2 / -4 1/1 = -2/5
+2 / -4 1/2 = -4/9
+2 / -4 1/3 = -6/13
+2 / -4 1/4 = -8/17
+2 / -4 1/5 = -10/21
+2 / -4 1/6 = -12/25
+2 / -4 1/7 = -14/29
+2 / -4 1/8 = -16/33
+2 / -4 1/9 = -18/37
+2 / -4 2/1 = -1/3
+2 / -4 2/2 = -2/5
+2 / -4 2/3 = -3/7
+2 / -4 2/4 = -4/9
+2 / -4 2/5 = -5/11
+2 / -4 2/6 = -6/13
+2 / -4 2/7 = -7/15
+2 / -4 2/8 = -8/17
+2 / -4 2/9 = -9/19
+2 / -4 3/1 = -2/7
+2 / -4 3/2 = -4/11
+2 / -4 3/3 = -2/5
+2 / -4 3/4 = -8/19
+2 / -4 3/5 = -10/23
+2 / -4 3/6 = -4/9
+2 / -4 3/7 = -14/31
+2 / -4 3/8 = -16/35
+2 / -4 3/9 = -6/13
+2 / -4 4/1 = -1/4
+2 / -4 4/2 = -1/3
+2 / -4 4/3 = -3/8
+2 / -4 4/4 = -2/5
+2 / -4 4/5 = -5/12
+2 / -4 4/6 = -3/7
+2 / -4 4/7 = -7/16
+2 / -4 4/8 = -4/9
+2 / -4 4/9 = -9/20
+2 / -4 5/1 = -2/9
+2 / -4 5/2 = -4/13
+2 / -4 5/3 = -6/17
+2 / -4 5/4 = -8/21
+2 / -4 5/5 = -2/5
+2 / -4 5/6 = -12/29
+2 / -4 5/7 = -14/33
+2 / -4 5/8 = -16/37
+2 / -4 5/9 = -18/41
+2 / -4 6/1 = -1/5
+2 / -4 6/2 = -2/7
+2 / -4 6/3 = -1/3
+2 / -4 6/4 = -4/11
+2 / -4 6/5 = -5/13
+2 / -4 6/6 = -2/5
+2 / -4 6/7 = -7/17
+2 / -4 6/8 = -8/19
+2 / -4 6/9 = -3/7
+2 / -4 7/1 = -2/11
+2 / -4 7/2 = -4/15
+2 / -4 7/3 = -6/19
+2 / -4 7/4 = -8/23
+2 / -4 7/5 = -10/27
+2 / -4 7/6 = -12/31
+2 / -4 7/7 = -2/5
+2 / -4 7/8 = -16/39
+2 / -4 7/9 = -18/43
+2 / -4 8/1 = -1/6
+2 / -4 8/2 = -1/4
+2 / -4 8/3 = -3/10
+2 / -4 8/4 = -1/3
+2 / -4 8/5 = -5/14
+2 / -4 8/6 = -3/8
+2 / -4 8/7 = -7/18
+2 / -4 8/8 = -2/5
+2 / -4 8/9 = -9/22
+2 / -4 9/1 = -2/13
+2 / -4 9/2 = -4/17
+2 / -4 9/3 = -2/7
+2 / -4 9/4 = -8/25
+2 / -4 9/5 = -10/29
+2 / -4 9/6 = -4/11
+2 / -4 9/7 = -14/37
+2 / -4 9/8 = -16/41
+2 / -4 9/9 = -2/5
+2 / -5 0/1 = -2/5
+2 / -5 0/2 = -2/5
+2 / -5 0/3 = -2/5
+2 / -5 0/4 = -2/5
+2 / -5 0/5 = -2/5
+2 / -5 0/6 = -2/5
+2 / -5 0/7 = -2/5
+2 / -5 0/8 = -2/5
+2 / -5 0/9 = -2/5
+2 / -5 1/1 = -1/3
+2 / -5 1/2 = -4/11
+2 / -5 1/3 = -3/8
+2 / -5 1/4 = -8/21
+2 / -5 1/5 = -5/13
+2 / -5 1/6 = -12/31
+2 / -5 1/7 = -7/18
+2 / -5 1/8 = -16/41
+2 / -5 1/9 = -9/23
+2 / -5 2/1 = -2/7
+2 / -5 2/2 = -1/3
+2 / -5 2/3 = -6/17
+2 / -5 2/4 = -4/11
+2 / -5 2/5 = -10/27
+2 / -5 2/6 = -3/8
+2 / -5 2/7 = -14/37
+2 / -5 2/8 = -8/21
+2 / -5 2/9 = -18/47
+2 / -5 3/1 = -1/4
+2 / -5 3/2 = -4/13
+2 / -5 3/3 = -1/3
+2 / -5 3/4 = -8/23
+2 / -5 3/5 = -5/14
+2 / -5 3/6 = -4/11
+2 / -5 3/7 = -7/19
+2 / -5 3/8 = -16/43
+2 / -5 3/9 = -3/8
+2 / -5 4/1 = -2/9
+2 / -5 4/2 = -2/7
+2 / -5 4/3 = -6/19
+2 / -5 4/4 = -1/3
+2 / -5 4/5 = -10/29
+2 / -5 4/6 = -6/17
+2 / -5 4/7 = -14/39
+2 / -5 4/8 = -4/11
+2 / -5 4/9 = -18/49
+2 / -5 5/1 = -1/5
+2 / -5 5/2 = -4/15
+2 / -5 5/3 = -3/10
+2 / -5 5/4 = -8/25
+2 / -5 5/5 = -1/3
+2 / -5 5/6 = -12/35
+2 / -5 5/7 = -7/20
+2 / -5 5/8 = -16/45
+2 / -5 5/9 = -9/25
+2 / -5 6/1 = -2/11
+2 / -5 6/2 = -1/4
+2 / -5 6/3 = -2/7
+2 / -5 6/4 = -4/13
+2 / -5 6/5 = -10/31
+2 / -5 6/6 = -1/3
+2 / -5 6/7 = -14/41
+2 / -5 6/8 = -8/23
+2 / -5 6/9 = -6/17
+2 / -5 7/1 = -1/6
+2 / -5 7/2 = -4/17
+2 / -5 7/3 = -3/11
+2 / -5 7/4 = -8/27
+2 / -5 7/5 = -5/16
+2 / -5 7/6 = -12/37
+2 / -5 7/7 = -1/3
+2 / -5 7/8 = -16/47
+2 / -5 7/9 = -9/26
+2 / -5 8/1 = -2/13
+2 / -5 8/2 = -2/9
+2 / -5 8/3 = -6/23
+2 / -5 8/4 = -2/7
+2 / -5 8/5 = -10/33
+2 / -5 8/6 = -6/19
+2 / -5 8/7 = -14/43
+2 / -5 8/8 = -1/3
+2 / -5 8/9 = -18/53
+2 / -5 9/1 = -1/7
+2 / -5 9/2 = -4/19
+2 / -5 9/3 = -1/4
+2 / -5 9/4 = -8/29
+2 / -5 9/5 = -5/17
+2 / -5 9/6 = -4/13
+2 / -5 9/7 = -7/22
+2 / -5 9/8 = -16/49
+2 / -5 9/9 = -1/3
+2 / -6 0/1 = -1/3
+2 / -6 0/2 = -1/3
+2 / -6 0/3 = -1/3
+2 / -6 0/4 = -1/3
+2 / -6 0/5 = -1/3
+2 / -6 0/6 = -1/3
+2 / -6 0/7 = -1/3
+2 / -6 0/8 = -1/3
+2 / -6 0/9 = -1/3
+2 / -6 1/1 = -2/7
+2 / -6 1/2 = -4/13
+2 / -6 1/3 = -6/19
+2 / -6 1/4 = -8/25
+2 / -6 1/5 = -10/31
+2 / -6 1/6 = -12/37
+2 / -6 1/7 = -14/43
+2 / -6 1/8 = -16/49
+2 / -6 1/9 = -18/55
+2 / -6 2/1 = -1/4
+2 / -6 2/2 = -2/7
+2 / -6 2/3 = -3/10
+2 / -6 2/4 = -4/13
+2 / -6 2/5 = -5/16
+2 / -6 2/6 = -6/19
+2 / -6 2/7 = -7/22
+2 / -6 2/8 = -8/25
+2 / -6 2/9 = -9/28
+2 / -6 3/1 = -2/9
+2 / -6 3/2 = -4/15
+2 / -6 3/3 = -2/7
+2 / -6 3/4 = -8/27
+2 / -6 3/5 = -10/33
+2 / -6 3/6 = -4/13
+2 / -6 3/7 = -14/45
+2 / -6 3/8 = -16/51
+2 / -6 3/9 = -6/19
+2 / -6 4/1 = -1/5
+2 / -6 4/2 = -1/4
+2 / -6 4/3 = -3/11
+2 / -6 4/4 = -2/7
+2 / -6 4/5 = -5/17
+2 / -6 4/6 = -3/10
+2 / -6 4/7 = -7/23
+2 / -6 4/8 = -4/13
+2 / -6 4/9 = -9/29
+2 / -6 5/1 = -2/11
+2 / -6 5/2 = -4/17
+2 / -6 5/3 = -6/23
+2 / -6 5/4 = -8/29
+2 / -6 5/5 = -2/7
+2 / -6 5/6 = -12/41
+2 / -6 5/7 = -14/47
+2 / -6 5/8 = -16/53
+2 / -6 5/9 = -18/59
+2 / -6 6/1 = -1/6
+2 / -6 6/2 = -2/9
+2 / -6 6/3 = -1/4
+2 / -6 6/4 = -4/15
+2 / -6 6/5 = -5/18
+2 / -6 6/6 = -2/7
+2 / -6 6/7 = -7/24
+2 / -6 6/8 = -8/27
+2 / -6 6/9 = -3/10
+2 / -6 7/1 = -2/13
+2 / -6 7/2 = -4/19
+2 / -6 7/3 = -6/25
+2 / -6 7/4 = -8/31
+2 / -6 7/5 = -10/37
+2 / -6 7/6 = -12/43
+2 / -6 7/7 = -2/7
+2 / -6 7/8 = -16/55
+2 / -6 7/9 = -18/61
+2 / -6 8/1 = -1/7
+2 / -6 8/2 = -1/5
+2 / -6 8/3 = -3/13
+2 / -6 8/4 = -1/4
+2 / -6 8/5 = -5/19
+2 / -6 8/6 = -3/11
+2 / -6 8/7 = -7/25
+2 / -6 8/8 = -2/7
+2 / -6 8/9 = -9/31
+2 / -6 9/1 = -2/15
+2 / -6 9/2 = -4/21
+2 / -6 9/3 = -2/9
+2 / -6 9/4 = -8/33
+2 / -6 9/5 = -10/39
+2 / -6 9/6 = -4/15
+2 / -6 9/7 = -14/51
+2 / -6 9/8 = -16/57
+2 / -6 9/9 = -2/7
+2 / -7 0/1 = -2/7
+2 / -7 0/2 = -2/7
+2 / -7 0/3 = -2/7
+2 / -7 0/4 = -2/7
+2 / -7 0/5 = -2/7
+2 / -7 0/6 = -2/7
+2 / -7 0/7 = -2/7
+2 / -7 0/8 = -2/7
+2 / -7 0/9 = -2/7
+2 / -7 1/1 = -1/4
+2 / -7 1/2 = -4/15
+2 / -7 1/3 = -3/11
+2 / -7 1/4 = -8/29
+2 / -7 1/5 = -5/18
+2 / -7 1/6 = -12/43
+2 / -7 1/7 = -7/25
+2 / -7 1/8 = -16/57
+2 / -7 1/9 = -9/32
+2 / -7 2/1 = -2/9
+2 / -7 2/2 = -1/4
+2 / -7 2/3 = -6/23
+2 / -7 2/4 = -4/15
+2 / -7 2/5 = -10/37
+2 / -7 2/6 = -3/11
+2 / -7 2/7 = -14/51
+2 / -7 2/8 = -8/29
+2 / -7 2/9 = -18/65
+2 / -7 3/1 = -1/5
+2 / -7 3/2 = -4/17
+2 / -7 3/3 = -1/4
+2 / -7 3/4 = -8/31
+2 / -7 3/5 = -5/19
+2 / -7 3/6 = -4/15
+2 / -7 3/7 = -7/26
+2 / -7 3/8 = -16/59
+2 / -7 3/9 = -3/11
+2 / -7 4/1 = -2/11
+2 / -7 4/2 = -2/9
+2 / -7 4/3 = -6/25
+2 / -7 4/4 = -1/4
+2 / -7 4/5 = -10/39
+2 / -7 4/6 = -6/23
+2 / -7 4/7 = -14/53
+2 / -7 4/8 = -4/15
